1756791655.214350 -0.000306 -0.000382 0.000035 -0.075854 -0.017488 -0.001362 0.996965
1756791655.281062 -0.000515 -0.000527 0.000156 -0.075801 -0.017547 -0.001337 0.996968
1756791655.381187 -0.000463 -0.000539 0.000156 -0.075694 -0.017605 -0.001363 0.996975
1756791655.448044 -0.000498 -0.000731 0.000174 -0.075579 -0.017656 -0.001318 0.996983
1756791655.548224 -0.000514 -0.000720 -0.000014 -0.075989 -0.017143 -0.001305 0.996960
1756791655.614986 -0.000654 -0.000952 -0.000114 -0.076407 -0.016431 -0.001195 0.996941
1756791655.715103 -0.000534 -0.000751 -0.000102 -0.076523 -0.016328 -0.001245 0.996933
1756791655.782060 -0.000564 -0.000770 -0.000136 -0.076590 -0.016212 -0.001246 0.996930
1756791655.882105 -0.000157 -0.000216 -0.000060 -0.076956 -0.016069 -0.001289 0.996904
1756791655.948858 -0.000104 -0.000164 -0.000045 -0.077005 -0.016058 -0.001240 0.996901
1756791656.048976 -0.000182 -0.000196 -0.000012 -0.077077 -0.016004 -0.001238 0.996896
1756791656.115870 -0.000107 -0.000129 -0.000008 -0.077164 -0.016009 -0.001222 0.996889
1756791656.215865 -0.000115 -0.000113 -0.000033 -0.077148 -0.016016 -0.001241 0.996890
1756791656.282753 0.000257 -0.000071 -0.000166 -0.077258 -0.015954 -0.001216 0.996883
1756791656.382890 0.000734 -0.000575 -0.000964 -0.077331 -0.015986 -0.001171 0.996877
1756791656.449752 0.000726 -0.001074 -0.001302 -0.077422 -0.016029 -0.001170 0.996869
1756791656.550067 0.002947 -0.000318 -0.001593 -0.076991 -0.016910 0.000384 0.996888
1756791656.616779 0.008598 0.000002 -0.001599 -0.075938 -0.017120 0.003831 0.996958
1756791656.716727 0.016633 -0.001268 -0.001566 -0.076211 -0.014888 -0.000630 0.996980
1756791656.783506 0.017518 -0.000616 -0.002011 -0.076872 -0.014267 -0.000349 0.996939
1756791656.850225 0.015599 -0.001391 -0.001910 -0.075871 -0.016062 0.000041 0.996988
1756791656.917108 0.021629 0.003662 0.000001 -0.071709 -0.021423 0.008331 0.997161
1756791656.983840 0.040490 0.007087 -0.001512 -0.069267 -0.021980 0.016582 0.997218
1756791657.050605 0.070713 0.004946 -0.003679 -0.070872 -0.016074 0.013723 0.997261
1756791657.117348 0.103308 0.006822 -0.003138 -0.073064 -0.007617 0.011283 0.997234
1756791657.217480 0.144020 0.010079 -0.003750 -0.076274 -0.004948 0.009944 0.997025
1756791657.284372 0.166810 0.009465 -0.003840 -0.082424 -0.000682 0.010898 0.996538
1756791657.384478 0.201883 0.006451 -0.003229 -0.084448 -0.001573 0.010765 0.996369
1756791657.451251 0.229309 0.007357 -0.004557 -0.087673 -0.000653 0.010819 0.996090
1756791657.517963 0.255274 0.008580 -0.002776 -0.090518 -0.002146 0.009300 0.995849
1756791657.584842 0.279390 0.013168 -0.001755 -0.092761 -0.005372 0.008652 0.995636
1756791657.651630 0.307475 0.015924 -0.000057 -0.098381 -0.009622 0.007990 0.995070
1756791657.718374 0.334965 0.020171 0.001944 -0.103874 -0.014951 0.006553 0.994457
